,Population,Age,Children,Income,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Port_modem,Tablet,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharge,Bandwidth_GB_Year,timely_responses,timely_fixes,timely_replacements,reliability,options,respectful_response,courteous_exchange,evidence_of_active_listening,Churn,Area_Rural,Area_Suburban,Area_Urban,Gender_Female,Gender_Male,Gender_Nonbinary,Marital_Divorced,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed,Contract_Month-to-month,Contract_One year,Contract_Two Year,InternetService_DSL,InternetService_Fiber Optic,InternetService_None,PaymentMethod_Bank Transfer(automatic),PaymentMethod_Credit Card (automatic),PaymentMethod_Electronic Check,PaymentMethod_Mailed Check,Tenure
5601,-0.6258714512133845,0.3344116002643158,2.7536300335232693,0.23914433866211882,1.1559884669146085,0.3252089645289763,0.005867974104602262,0.9466579047036832,0,1,0,1,0,1,0,1,1,1,1,0,1.456285627304756,1.1366460585136415,-0.47294840851206826,0.4783542977305066,-0.4737697057245398,-2.4347682959991337,1.4706742426431563,-0.48116458471979834,-0.4954056262379492,-0.4818284474094517,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1.0011387853976836
5231,0.8302007122956172,0.28609739541799184,3.6851220192219887,-0.9633427432283921,0.27972046325674343,0.3252089645289763,1.0175876473118841,2.519179341088539,1,0,1,1,0,0,1,1,0,1,0,0,-0.7601885511411577,1.0222253046330654,0.49067915569344955,0.4783542977305066,0.4990633655784165,-0.48500389479862627,-0.48098688487745467,-0.48116458471979834,0.47693122604458105,-0.4818284474094517,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0.9698087751140311
3777,-0.4475175086573661,-0.9217577257401072,-0.5065919164222484,0.3801220168930278,-1.5157932223590063,-0.3357848658144715,-1.0058516991026796,-0.6258635316811727,0,0,0,1,0,1,1,0,0,1,0,1,-0.7026444078831412,-0.606693899987464,-0.47294840851206826,1.4449218825567476,-0.4737697057245398,0.4898783058016274,0.4948436788828508,0.48638937610826977,0.47693122604458105,-2.4262531746469485,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,-0.7693135076629141
2726,-0.5388424877905565,0.5276684196496116,-0.04084592357288879,-0.03390948258961994,0.6467492176324018,-0.0052879506427475865,-1.0058516991026796,0.9466579047036832,0,0,0,1,1,0,1,1,0,1,1,1,1.9214477031878996,-0.6289753452501138,1.4543067198989672,1.4449218825567476,1.4718964368813727,0.4898783058016274,0.4948436788828508,1.453943336936338,0.47693122604458105,0.4903839162092966,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,-0.9190759640534623
477,1.3166898462061862,-0.3419872675842196,1.82213804782455,-0.24543770533124892,-0.32186305529659737,-0.0052879506427475865,-1.0058516991026796,-0.6258635316811727,0,1,1,1,0,0,0,1,0,0,0,1,-1.109587460187905,-1.2898630190203757,-0.47294840851206826,0.4783542977305066,-0.4737697057245398,0.4898783058016274,0.4948436788828508,-0.48116458471979834,1.4492680783271112,0.4903839162092966,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,-1.2074734060603431
1329,-0.07036890363312055,-0.5352440869695154,-0.9723379092716081,0.08148208895741157,-0.24541997791341574,-1.3272756113296431,-1.0058516991026796,-0.6258635316811727,0,0,0,1,1,0,0,0,0,0,0,1,-0.6442373353542117,-1.1216669950625933,0.49067915569344955,0.4783542977305066,1.4718964368813727,1.4647605064018812,-2.4326480123980656,2.421497297764406,2.4216049306096417,1.462596279828045,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,-0.9525424644112672
4035,-0.49290283592006695,0.9141820584202033,-0.5065919164222484,0.5633079586289301,0.39937957273517594,-0.0052879506427475865,0.005867974104602262,0.9466579047036832,0,1,0,1,0,1,0,0,1,1,0,0,-0.4694543940831323,-0.6678650434912756,0.49067915569344955,1.4449218825567476,-0.4737697057245398,1.4647605064018812,-1.45681744863776,0.48638937610826977,1.4492680783271112,0.4903839162092966,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,-0.5412676264556708
9642,-0.08263333558044582,0.9624962632665273,1.82213804782455,-0.8651233576292375,-0.007457367057801603,-0.3357848658144715,0.005867974104602262,-0.6258635316811727,0,0,0,1,0,0,0,0,0,1,0,1,-0.8193954430145611,1.221248994883209,-0.47294840851206826,1.4449218825567476,-1.446602777027496,0.4898783058016274,1.4706742426431563,-1.4487185455478664,-0.4954056262379492,-0.4818284474094517,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1.3529628273898777
1777,-0.6644663020306736,-0.3419872675842196,-0.04084592357288879,-0.446373168552338,1.1068388329734775,1.6471966252158718,-1.0058516991026796,-0.6258635316811727,0,0,0,1,0,0,1,0,1,0,1,1,-0.5275640814605419,-1.2305940721668673,-0.47294840851206826,-0.48821328709573447,-0.4737697057245398,-0.48500389479862627,1.4706742426431563,1.453943336936338,-1.4677424785204796,-1.4540408110282002,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,-1.1326592765117642
6096,-0.6058464747570173,-1.5015281838959946,-0.04084592357288879,-0.32540825222375946,-0.23160422631702784,-0.0052879506427475865,-1.0058516991026796,2.519179341088539,0,0,1,1,0,0,1,0,1,0,1,1,-0.23701890486489635,1.2030001384590787,-0.47294840851206826,-0.48821328709573447,-1.446602777027496,1.4647605064018812,0.4948436788828508,0.48638937610826977,-0.4954056262379492,1.462596279828045,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1.0566850533583938
751,-0.6356414224256606,-0.4869298821231915,-0.04084592357288879,1.820459992036435,-0.006785309225188993,0.3252089645289763,-1.0058516991026796,-0.6258635316811727,0,0,1,1,0,0,0,0,0,1,1,1,0.05841179510993007,-1.0186194060843767,0.49067915569344955,-0.48821328709573447,-0.4737697057245398,-1.45988609539888,1.4706742426431563,-0.48116458471979834,0.47693122604458105,-0.4818284474094517,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,-1.0153847485860064
5792,-0.535724411871745,-0.8251293160474592,-0.5065919164222484,0.4499101096806421,-0.7807739781719076,-1.3272756113296431,-1.0058516991026796,-0.6258635316811727,0,1,0,1,0,0,0,0,0,0,0,0,-1.4012200604053366,1.0687492624606103,-0.47294840851206826,-0.48821328709573447,0.4990633655784165,0.4898783058016274,-0.48098688487745467,0.48638937610826977,2.4216049306096417,1.462596279828045,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1.2666058039211048
4060,0.0023862011391480235,-1.6464707984349665,-0.9723379092716081,0.7696873271529922,-0.6705174959571331,-0.3357848658144715,0.005867974104602262,-0.6258635316811727,0,0,0,1,0,0,1,0,0,0,1,0,-0.5283305992571172,-0.7642422594355823,-0.47294840851206826,-0.48821328709573447,-0.4737697057245398,1.4647605064018812,-0.48098688487745467,0.48638937610826977,-0.4954056262379492,1.462596279828045,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,-0.8635989048501685
9041,0.4893603690815323,0.2377831905716679,0.4249000692764709,-0.8346348636801462,-0.44058611056529534,-0.0052879506427475865,-1.0058516991026796,2.519179341088539,0,0,1,1,0,0,0,0,0,0,0,1,-1.4012200604053366,1.054055455572533,-0.47294840851206826,0.4783542977305066,0.4990633655784165,-0.48500389479862627,0.4948436788828508,-0.48116458471979834,-0.4954056262379492,-0.4818284474094517,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1.2946398889540145
6030,-0.6043913726615718,-0.8251293160474592,-0.04084592357288879,0.2526858358931803,0.27570819173220584,-1.3272756113296431,-1.0058516991026796,-0.6258635316811727,1,0,1,1,0,0,0,1,0,1,0,1,-0.5277647058207883,1.193698285499812,1.4543067198989672,0.4783542977305066,0.4990633655784165,-0.48500389479862627,0.4948436788828508,-1.4487185455478664,1.4492680783271112,0.4903839162092966,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1.3047485276260862
5898,5.445368815592494,-1.3082713645106987,-0.04084592357288879,1.0058328109470918,-1.3192624852463064,-0.6662817809861953,1.0175876473118841,-0.6258635316811727,0,0,0,1,1,0,1,0,0,1,1,1,1.6298146372145534,1.2810071439845074,-0.47294840851206826,0.4783542977305066,1.4718964368813727,-2.4347682959991337,0.4948436788828508,-1.4487185455478664,0.47693122604458105,-1.4540408110282002,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1.0108227167769743
9338,-0.6641891397267793,-1.6464707984349665,-0.9723379092716081,-0.5857862249216929,1.0122624490117742,1.6471966252158718,0.005867974104602262,0.9466579047036832,0,1,0,1,1,0,0,0,1,0,0,0,-0.8186828364651095,0.7238620262517602,-0.47294840851206826,-2.4213484567482166,0.4990633655784165,-1.45988609539888,-0.48098688487745467,-0.48116458471979834,1.4492680783271112,0.4903839162092966,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0.719163398185774
9160,-0.5017720296446864,1.1557530826518232,-0.5065919164222484,-0.5251897536276462,-0.850444687338896,1.9776935403875957,1.0175876473118841,-0.6258635316811727,0,1,0,1,1,0,0,0,0,0,0,1,-1.4005377279903388,-0.020600269398230665,1.4543067198989672,1.4449218825567476,0.4990633655784165,1.4647605064018812,0.4948436788828508,1.453943336936338,1.4492680783271112,3.407021007065542,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0.1967359872622769
9996,4.670977338511662,-0.2453588578915717,0.8906460621258305,-0.201343526354872,-1.095915055966718,0.986202794872424,1.0175876473118841,-0.6258635316811727,0,0,0,1,1,1,1,1,0,1,0,0,0.8117260169869184,1.0541943330217018,0.49067915569344955,1.4449218825567476,1.4718964368813727,0.4898783058016274,0.4948436788828508,1.453943336936338,-1.4677424785204796,1.462596279828045,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1.002739663376616
5151,1.485550979853823,0.5276684196496116,0.4249000692764709,-0.7338054107870121,-0.45624069023381225,-0.9967786961579193,0.005867974104602262,-0.6258635316811727,0,0,0,1,1,1,0,1,0,0,1,0,0.5207939136651571,0.6191629532875429,-1.436575972717586,-1.4547808719219755,-0.4737697057245398,-0.48500389479862627,-0.48098688487745467,0.48638937610826977,0.47693122604458105,0.4903839162092966,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0.6841709966080091
468,2.76160622698344,0.9624962632665273,-0.9723379092716081,-0.7178804540066521,0.44016745135965524,1.316699710044148,-1.0058516991026796,0.9466579047036832,0,0,1,1,0,0,0,1,0,1,0,1,-0.9935207835097114,-0.5196652762820088,0.49067915569344955,0.4783542977305066,0.4990633655784165,-0.48500389479862627,0.4948436788828508,-0.48116458471979834,-0.4954056262379492,-0.4818284474094517,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,-0.5477999657459566
1545,-0.6485987601327217,1.0108104681128514,-0.9723379092716081,-0.7739596648128302,-0.794551104766131,-0.9967786961579193,0.005867974104602262,-0.6258635316811727,0,1,0,1,0,1,1,0,0,1,0,0,-0.993189374888625,-1.3609855747747885,0.49067915569344955,1.4449218825567476,-0.4737697057245398,-0.48500389479862627,0.4948436788828508,0.48638937610826977,1.4492680783271112,0.4903839162092966,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,-1.2427736578727597
6311,-0.1979328540004981,1.107438877805499,0.4249000692764709,-0.3557701437239444,0.133870696942261,-2.3187663568448147,0.005867974104602262,-0.6258635316811727,0,1,0,1,0,0,0,0,0,1,1,0,0.3489579265052009,1.1243512039324455,1.4543067198989672,0.4783542977305066,-0.4737697057245398,-0.48500389479862627,-0.48098688487745467,0.48638937610826977,2.4216049306096417,0.4903839162092966,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0.9908675250551795
2683,-0.571478349074117,-1.3565855693570228,1.3563920549751902,0.983422758975834,0.22909661860251015,-0.3357848658144715,0.005867974104602262,-0.6258635316811727,0,1,0,1,0,1,0,1,0,1,0,0,-1.2254344630889422,-1.0791797881914509,1.4543067198989672,1.4449218825567476,2.444729508184329,-0.48500389479862627,0.4948436788828508,-0.48116458471979834,-0.4954056262379492,0.4903839162092966,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,-1.0996606729259826
8966,-0.1515081680981934,-1.115014545125403,-0.04084592357288879,0.34889624985912887,-0.6830546683448182,-1.657772526501367,0.005867974104602262,0.9466579047036832,0,1,0,1,0,0,1,1,0,0,0,1,-1.3420108397523594,0.7498218304855315,1.4543067198989672,1.4449218825567476,0.4990633655784165,-0.48500389479862627,-1.45681744863776,1.453943336936338,-1.4677424785204796,-0.4818284474094517,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0.8769491539675454
6181,-0.6597545428644696,1.6872093359613867,-0.9723379092716081,-0.7564952648092139,-1.151254495788776,-0.9967786961579193,3.0410269937264474,0.9466579047036832,0,0,0,0,0,0,1,1,1,1,0,1,0.2874222550584258,0.7567526592006051,-0.47294840851206826,-0.48821328709573447,0.4990633655784165,1.4647605064018812,-1.45681744863776,-1.4487185455478664,0.47693122604458105,0.4903839162092966,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0.9077531020568451
1025,-0.09184898218493318,0.28609739541799184,-0.9723379092716081,0.034787417662182296,-1.3678986169836693,-0.6662817809861953,2.0293073205191656,-0.6258635316811727,0,0,0,1,0,0,0,1,1,0,1,1,-0.003508218117634932,-0.7679684180081285,0.49067915569344955,-0.48821328709573447,-0.4737697057245398,0.4898783058016274,-0.48098688487745467,0.48638937610826977,1.4492680783271112,-0.4818284474094517,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,-0.6138881309240545
5112,-0.5374566762710847,-0.970071930586431,0.8906460621258305,1.5548682680672943,0.2632681337892937,0.986202794872424,-1.0058516991026796,-0.6258635316811727,0,0,0,1,1,0,1,1,0,1,0,0,0.28733841899378426,0.7412653055255018,0.49067915569344955,2.4114894673829887,1.4718964368813727,0.4898783058016274,-2.4326480123980656,1.453943336936338,0.47693122604458105,0.4903839162092966,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0.5082835579574425
8562,-0.17319611837792678,0.8175536487275554,-0.9723379092716081,-0.5538774429953749,-0.2220335809828276,-0.3357848658144715,2.0293073205191656,-0.6258635316811727,0,1,0,1,0,0,1,1,0,0,0,1,-1.3420108397523594,0.8889603243016876,-0.47294840851206826,0.4783542977305066,-0.4737697057245398,-0.48500389479862627,-0.48098688487745467,0.48638937610826977,-0.4954056262379492,0.4903839162092966,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1.0682516142153895
5368,-0.6150621213615046,0.18946898572534393,-0.04084592357288879,-0.7595550013054716,0.07828695884563464,-0.6662817809861953,-1.0058516991026796,0.9466579047036832,0,0,0,0,0,0,1,1,1,1,0,0,-0.1783336596159276,0.4902801398832721,-2.4002035369231036,-2.4213484567482166,-1.446602777027496,0.4898783058016274,-0.48098688487745467,1.453943336936338,-2.4400793308030098,-0.4818284474094517,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0.35109345131737185
2354,-0.4157131342854887,0.09284057603269602,-0.9723379092716081,-0.17596452283671257,0.5501018630953695,-1.3272756113296431,1.0175876473118841,-0.6258635316811727,1,1,0,0,1,0,0,0,1,0,0,0,-0.3529269217907562,-1.3604935266359937,-1.436575972717586,-1.4547808719219755,-1.446602777027496,-0.48500389479862627,1.4706742426431563,0.48638937610826977,-0.4954056262379492,0.4903839162092966,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,-1.1757428054289112
7278,-0.6474901109171443,1.4939525165760907,-0.9723379092716081,1.2053447945325786,0.3998869873082119,-0.9967786961579193,-1.0058516991026796,4.0917007774733944,0,0,1,1,0,1,0,1,1,0,0,1,-1.5159473860874968,1.031590209445204,1.4543067198989672,2.4114894673829887,1.4718964368813727,-1.45988609539888,1.4706742426431563,-0.48116458471979834,-0.4954056262379492,-0.4818284474094517,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1.2399683743042584
3602,-0.6708410350202438,1.0591246729591752,-0.9723379092716081,-1.2878195003447392,0.06471781946868223,-0.6662817809861953,-1.0058516991026796,-0.6258635316811727,0,0,0,0,1,1,1,0,0,1,1,1,2.154202235207688,-0.8545647232842006,0.49067915569344955,0.4783542977305066,0.4990633655784165,-1.45988609539888,1.4706742426431563,-0.48116458471979834,0.47693122604458105,0.4903839162092966,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,-0.9060983765630163
773,-0.478559686693534,-1.1633287499717269,-0.5065919164222484,-1.0070837120111815,-0.43873511697675044,1.316699710044148,-1.0058516991026796,-0.6258635316811727,0,0,0,1,0,0,1,0,0,0,0,1,-0.877342348699792,-1.2785374712177795,2.417934284104485,2.4114894673829887,2.444729508184329,-1.45988609539888,0.4948436788828508,-0.48116458471979834,-0.4954056262379492,1.462596279828045,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,-1.1548140099061337
6773,-0.5921269407142465,0.09284057603269602,0.8906460621258305,0.4986041776339497,0.5506361605596923,-0.3357848658144715,1.0175876473118841,0.9466579047036832,0,0,1,1,1,0,1,1,0,1,0,0,0.7530943336681376,1.1818774991200216,-0.47294840851206826,0.4783542977305066,-0.4737697057245398,1.4647605064018812,0.4948436788828508,-0.48116458471979834,-0.4954056262379492,0.4903839162092966,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1.1985410710464717
8809,-0.22066016291983534,-0.4386156772768675,0.8906460621258305,-0.6030116051758332,-1.4182348738434958,-1.657772526501367,-1.0058516991026796,-0.6258635316811727,0,1,0,1,0,0,1,0,0,1,0,1,-0.761276091201922,0.6429428502252075,-1.436575972717586,-0.48821328709573447,-0.4737697057245398,-0.48500389479862627,-0.48098688487745467,-0.48116458471979834,0.47693122604458105,0.4903839162092966,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0.5199896708990651
3382,-0.6293359800120639,-0.10041624335259981,-0.9723379092716081,-0.7525599500318645,1.794087495218115,-1.3272756113296431,2.0293073205191656,-0.6258635316811727,0,0,0,1,1,0,1,1,0,1,0,0,0.7530943336681376,-1.252274754085188,1.4543067198989672,1.4449218825567476,0.4990633655784165,-1.45988609539888,-0.48098688487745467,2.421497297764406,-1.4677424785204796,1.462596279828045,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,-1.2057331913381306
641,-0.5465337417236249,1.4456383117297669,-0.5065919164222484,-1.110311518859368,0.11684822839568039,-1.3272756113296431,-1.0058516991026796,0.9466579047036832,0,1,0,1,1,0,1,0,0,1,0,0,-0.00429390177009909,-1.0939489722013311,-0.47294840851206826,-1.4547808719219755,0.4990633655784165,-1.45988609539888,0.4948436788828508,-0.48116458471979834,-0.4954056262379492,-1.4540408110282002,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,-1.1453545854957685
4233,-0.6318997313230867,0.7692394438812314,-0.9723379092716081,1.6478650366775303,-0.059669990587077816,-0.9967786961579193,-1.0058516991026796,-0.6258635316811727,0,0,1,1,0,0,1,1,0,1,1,1,1.630222173639893,-1.1291378935585235,-0.47294840851206826,-0.48821328709573447,-0.4737697057245398,0.4898783058016274,-0.48098688487745467,0.48638937610826977,0.47693122604458105,0.4903839162092966,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,-1.1634889221908828
3815,-0.47765890920587734,1.4456383117297669,1.82213804782455,-0.5272090094933963,1.343893156285694,-0.0052879506427475865,-1.0058516991026796,-0.6258635316811727,0,0,0,1,1,0,1,1,1,0,1,1,0.8115932765512364,-0.8314012110642787,-0.47294840851206826,-0.48821328709573447,-0.4737697057245398,-0.48500389479862627,0.4948436788828508,0.48638937610826977,0.47693122604458105,-0.4818284474094517,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,-1.032222487310432
4104,-0.6190116841919991,-1.018386135432755,-0.5065919164222484,-0.4367173380794469,0.01453082179785771,-0.0052879506427475865,1.0175876473118841,0.9466579047036832,0,1,0,1,0,0,0,1,0,0,1,1,-0.2948192138759836,-0.7952399451544658,0.49067915569344955,0.4783542977305066,0.4990633655784165,-1.45988609539888,1.4706742426431563,-0.48116458471979834,-0.4954056262379492,0.4903839162092966,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,-0.7324456622161376
9925,2.1530963887833803,0.9141820584202033,-0.04084592357288879,-0.7042549097716948,0.8713120896342897,0.6557058797007002,-1.0058516991026796,-0.6258635316811727,0,1,1,1,1,1,1,0,1,0,1,1,0.5785942226762444,0.23400000109109972,-0.47294840851206826,-1.4547808719219755,-0.4737697057245398,1.4647605064018812,0.4948436788828508,0.48638937610826977,1.4492680783271112,0.4903839162092966,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0.1250867702193661
